id,type,amount,category,description,date,tax_percent
1,expense,269.34,others,bus fare,2004-10-03,0.0
2,expense,624.91,food,movie ticket,2004-11-20,0.0
3,expense,570.79,rent,movie ticket,2003-07-26,0.0
4,income,5026.18,others,monthly salary,2005-06-15,0.0
5,income,3987.51,salary,investment return,2004-11-13,10.0
6,expense,448.47,others,rent payment,2005-04-27,0.0
7,income,6208.14,others,investment return,2004-09-02,5.0
8,expense,282.58,utilities,rent payment,2004-02-28,0.0
9,income,9597.84,others,freelance,2005-02-28,0.0
10,income,3084.3,others,bonus,2005-07-19,10.0
11,expense,995.4,others,movie ticket,2003-11-28,0.0
12,expense,394.49,entertainment,rent payment,2004-11-24,0.0
13,expense,685.3,transport,groceries,2005-03-19,0.0
14,income,4589.66,others,monthly salary,2003-05-30,10.0
15,expense,749.23,transport,rent payment,2004-02-05,0.0
16,expense,481.63,food,groceries,2005-03-10,0.0
17,expense,268.04,utilities,movie ticket,2004-05-11,0.0
18,expense,853.97,entertainment,electricity bill,2003-08-26,0.0
19,expense,849.46,others,electricity bill,2004-01-30,0.0
20,expense,209.74,entertainment,electricity bill,2004-09-11,0.0
21,income,6354.85,others,investment return,2005-03-02,5.0
22,income,5487.37,others,monthly salary,2003-09-29,10.0
23,income,5071.16,others,investment return,2005-10-05,15.0
24,income,1688.55,others,freelance,2005-02-25,15.0
25,expense,349.47,entertainment,movie ticket,2004-07-01,0.0
26,expense,905.09,others,bus fare,2005-09-15,0.0
27,expense,593.77,entertainment,rent payment,2004-02-06,0.0
28,income,9681.52,salary,monthly salary,2004-07-12,0.0
29,expense,371.94,rent,misc purchase,2003-02-27,0.0
30,income,6779.38,others,bonus,2004-06-06,10.0
31,expense,673.62,others,bus fare,2004-09-30,0.0
32,expense,967.49,transport,rent payment,2004-08-26,0.0
33,expense,786.31,food,electricity bill,2005-07-16,0.0
34,income,3912.79,others,monthly salary,2004-05-02,0.0
35,income,1812.2,salary,investment return,2003-11-01,0.0
36,income,5349.59,others,bonus,2003-10-30,0.0
37,income,4483.84,others,bonus,2004-02-03,10.0
38,expense,231.87,entertainment,bus fare,2004-05-24,0.0
39,income,3890.32,salary,investment return,2003-02-09,10.0
40,expense,20.2,others,rent payment,2003-07-08,0.0
